Amount - Order Total,Item - Fill SKU,Item - Price,Item - Qty,Item - SKU,Ship To - State,Date - Order Date
"419.75",,"395.99","1","E1-FLOG-Y6RC","MD","3/12/2021 4:36:32 PM"
"398.99",,"398.99","1","Treadmill-W-H-0009","FL","3/13/2021 6:06:17 AM"
"360.39",,"339.99","1","Treadmill-None-0002","PA","3/13/2021 4:31:07 PM"
"435.90",,"398.99","1","Treadmill-W-H-0009","CA","3/13/2021 8:46:12 PM"
"366.34",,"339.99","1","Treadmill-None-0002","CA","3/13/2021 8:51:46 PM"
"394.34",,"345.99","1","Treadmill-None-0003","CA","3/14/2021 12:24:07 AM"
"417.29",,"389.99","1","Treadmill-W-H-0008","IN","3/14/2021 4:58:34 AM"
"367.96",,"345.99","1","Treadmill-None-0003","CT","3/14/2021 5:22:05 AM"
"368.04",,"339.99","1","Treadmill-None-0002","TX","3/14/2021 6:07:20 AM"
"345.99",,"345.99","1","Treadmill-None-0003","MO","3/14/2021 6:53:33 AM"
"345.99",,"345.99","1","Treadmill-None-0003","OR","3/14/2021 10:20:49 AM"
"364.21",,"339.99","1","Treadmill-None-0002","MN","3/14/2021 12:36:40 PM"
"389.68",,"339.99","1","Treadmill-None-0002","TX","3/14/2021 12:58:09 PM"
"368.04",,"339.99","1","Treadmill-None-0002","TX","3/14/2021 2:22:29 PM"
"377.28",,"339.99","1","Treadmill-None-0002","AZ","3/14/2021 2:23:38 PM"
"339.99",,"339.99","1","Treadmill-None-0002","OR","3/14/2021 3:15:23 PM"
"361.24",,"339.99","1","Treadmill-None-0002","MA","3/14/2021 4:44:39 PM"
"375.35",,"339.99","1","Treadmill-None-0002","WA","3/14/2021 5:49:51 PM"
"364.64",,"339.99","1","Treadmill-None-0002","IL","3/14/2021 5:59:59 PM"
"361.24",,"339.99","1","Treadmill-None-0002","MA","3/14/2021 6:49:12 PM"
"339.99",,"339.99","1","Treadmill-None-0002","FL","3/14/2021 8:47:52 PM"
"431.97",,"398.99","1","Treadmill-W-H-0009","NV","3/15/2021 4:41:50 AM"
"484.83",,"389.99","1","Treadmill-W-H-0008","PR","3/15/2021 6:30:37 AM"
